Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_MMOP,SQ_ACTIVE_INST_MMOP,SQ_INSTS_VALU,SQ_ACTIVE_INST_VALU,SQ_WAVES,DispatchNs,BeginNs,EndNs,CompleteNs
195,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,319,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298819359178,2875298820021130,2875298820052010,2875298820054214
196,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,320,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298820111134,2875298820768809,2875298820796489,2875298820798981
197,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,321,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298820859671,2875298821502888,2875298821530888,2875298821533207
198,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,322,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298821593188,2875298822251048,2875298822278728,2875298822280904
199,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,323,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298822343035,2875298822999207,2875298823027847,2875298823029811
200,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,324,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298823089862,2875298823743847,2875298823771686,2875298823774058
201,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,325,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298823834268,2875298824465126,2875298824493126,2875298824495525
202,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,326,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298824557335,2875298825215045,2875298825246085,2875298825248641
203,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,327,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298825306482,2875298825968645,2875298825996485,2875298825998488
204,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,328,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298826059289,2875298826716164,2875298826744164,2875298826746765
205,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,329,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298826807056,2875298827480803,2875298827508643,2875298827510982
206,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,330,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298827572993,2875298828235843,2875298828263363,2875298828265729
